sourceTypeID,roadTypeID,roadTypeVMTFraction,FIP
41,4,0,36031
41,5,0.0383,36031
42,1,0,36031
42,2,0.1967,36031
42,3,0.765,36031
42,4,0,36031
42,5,0.0383,36031
43,1,0,36031
43,2,0.1967,36031
43,3,0.765,36031
43,4,0,36031
43,5,0.0383,36031
51,1,0,36031
51,2,0.2023,36031
51,3,0.7738,36031
51,4,0,36031
51,5,0.0239,36031
52,1,0,36031
52,2,0.2023,36031
52,3,0.7738,36031
52,4,0,36031
52,5,0.0239,36031
53,1,0,36031
53,2,0.2023,36031
53,3,0.7738,36031
53,4,0,36031
53,5,0.0239,36031
53,1,0,36031
54,2,0.2023,36031
54,3,0.7738,36031
54,4,0,36031
54,5,0.0239,36031
61,1,0,36031
61,2,0.7308,36031
61,3,0.2634,36031
61,4,0,36031
61,5,0.0058,36031
62,1,0,36031
62,2,0.7308,36031
62,3,0.2634,36031
62,4,0,36031
62,5,0.0058,36031
11,1,0,36033
11,2,0,36033
11,3,0.8762,36033
11,4,0,36033
11,5,0.1238,36033
21,1,0,36033
21,2,0,36033
21,3,0.8332,36033
21,4,0,36033
21,5,0.1668,36033
31,1,0,36033
31,2,0,36033
31,3,0.8332,36033
31,4,0,36033
31,5,0.1668,36033
32,1,0,36033
32,2,0,36033
32,3,0.8332,36033
32,4,0,36033
32,5,0.1668,36033
41,1,0,36033
41,2,0,36033
41,3,0.8792,36033
41,4,0,36033
41,5,0.1208,36033
42,1,0,36033
42,2,0,36033
42,3,0.8792,36033
42,4,0,36033
42,5,0.1208,36033
43,1,0,36033
43,2,0,36033
43,3,0.8792,36033
43,4,0,36033
43,5,0.1208,36033
51,1,0,36033
51,2,0,36033
51,3,0.8587,36033
51,4,0,36033
51,5,0.1413,36033
52,1,0,36033
52,2,0,36033
52,3,0.8587,36033
52,4,0,36033
52,5,0.1413,36033
53,1,0,36033
53,2,0,36033
53,3,0.8587,36033
53,4,0,36033
53,5,0.1413,36033
53,1,0,36033
54,2,0,36033
54,3,0.8587,36033
54,4,0,36033
54,5,0.1413,36033
61,1,0,36033
61,2,0,36033
61,3,0.9408,36033
61,4,0,36033
61,5,0.0592,36033
62,1,0,36033
62,2,0,36033
62,3,0.9408,36033
62,4,0,36033
62,5,0.0592,36033
11,1,0,36035
11,2,0,36035
11,3,0.7793,36035
11,4,0,36035
11,5,0.2207,36035
21,1,0,36035
21,2,0,36035
21,3,0.6503,36035
21,4,0,36035
21,5,0.3497,36035
