OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
184,36,119,012304,36119012304,123.04,Census Tract,G5020,S,31126536,916604,+41.1553624,-073.6445965
185,36,119,012400,36119012400,124,Census Tract,G5020,S,57782862,2014445,+41.2123852,-073.5838473
186,36,119,012501,36119012501,125.01,Census Tract,G5020,S,15635795,1566624,+41.2940945,-073.6594003
187,36,119,012502,36119012502,125.02,Census Tract,G5020,S,36640023,1566878,+41.2796180,-073.5813197
188,36,119,012503,36119012503,125.03,Census Tract,G5020,S,19636246,552963,+41.2325508,-073.5176190
189,36,119,012600,36119012600,126,Census Tract,G5020,S,27234253,4050655,+41.2482206,-073.6407729
190,36,119,012700,36119012700,127,Census Tract,G5020,S,42675216,860996,+41.2008156,-073.6565403
191,36,119,012803,36119012803,128.03,Census Tract,G5020,S,11749966,674509,+41.2413469,-073.7122382
192,36,119,012804,36119012804,128.04,Census Tract,G5020,S,14761401,88584,+41.2255047,-073.6922316
193,36,119,012900,36119012900,129,Census Tract,G5020,S,1442405,8215,+41.2068392,-073.7285791
194,36,119,013000,36119013000,130,Census Tract,G5020,S,6434906,70702,+41.1911329,-073.7149373
195,36,119,013102,36119013102,131.02,Census Tract,G5020,S,20267301,223753,+41.1592031,-073.7368816
196,36,119,013103,36119013103,131.03,Census Tract,G5020,S,21946443,249652,+41.1897945,-073.8106921
197,36,119,013104,36119013104,131.04,Census Tract,G5020,S,17609948,440842,+41.1992596,-073.7611071
198,36,119,013201,36119013201,132.01,Census Tract,G5020,S,10671181,2167717,+41.1403331,-073.8475045
199,36,119,013202,36119013202,132.02,Census Tract,G5020,S,3457772,0,+41.1551910,-073.8373500
200,36,119,013301,36119013301,133.01,Census Tract,G5020,S,785598,1769014,+41.1583129,-073.8703996
201,36,119,013304,36119013304,133.04,Census Tract,G5020,S,1215085,2713320,+41.1443813,-073.8685795
202,36,119,013401,36119013401,134.01,Census Tract,G5020,S,623197,0,+41.1548930,-073.8580520
203,36,119,013402,36119013402,134.02,Census Tract,G5020,S,1185290,11769,+41.1650746,-073.8495752
204,36,119,013500,36119013500,135,Census Tract,G5020,S,1659667,0,+41.1722273,-073.8437297
205,36,119,013600,36119013600,136,Census Tract,G5020,S,2469455,4017035,+41.1667993,-073.8710932
206,36,119,013700,36119013700,137,Census Tract,G5020,S,7656444,92802,+41.1792094,-073.8463156
207,36,119,013800,36119013800,138,Census Tract,G5020,S,2746527,2088101,+41.1921279,-073.8788854
208,36,119,013900,36119013900,139,Census Tract,G5020,S,9409169,13608167,+41.2096524,-073.9011520
209,36,119,014000,36119014000,140,Census Tract,G5020,S,3666065,865561,+41.2631679,-073.9449660
210,36,119,014100,36119014100,141,Census Tract,G5020,S,3236997,2602749,+41.2837261,-073.9337120
211,36,119,014200,36119014200,142,Census Tract,G5020,S,2064084,516098,+41.2947461,-073.9288811
212,36,119,014300,36119014300,143,Census Tract,G5020,S,722766,0,+41.2916594,-073.9144211
213,36,119,014400,36119014400,144,Census Tract,G5020,S,2510676,43624,+41.2987210,-073.9053975
214,36,119,014500,36119014500,145,Census Tract,G5020,S,2716638,14648,+41.2850006,-073.9079663
215,36,119,014604,36119014604,146.04,Census Tract,G5020,S,5444312,4109497,+41.2442109,-073.9490103
216,36,119,014605,36119014605,146.05,Census Tract,G5020,S,3980931,1540998,+41.2254295,-073.9227120
217,36,119,014606,36119014606,146.06,Census Tract,G5020,S,36709479,2431083,+41.2453643,-073.8808015
218,36,119,014607,36119014607,146.07,Census Tract,G5020,S,8065437,59131,+41.2811923,-073.8743918
219,36,119,014701,36119014701,147.01,Census Tract,G5020,S,19805438,1636739,+41.3096517,-073.9325770
220,36,119,014703,36119014703,147.03,Census Tract,G5020,S,6947716,33605,+41.3189758,-073.8783937
221,36,119,014704,36119014704,147.04,Census Tract,G5020,S,4267147,85774,+41.3033025,-073.8737265
222,36,119,014805,36119014805,148.05,Census Tract,G5020,S,37697000,4279909,+41.2462774,-073.8161162
223,36,119,014806,36119014806,148.06,Census Tract,G5020,S,10238956,157652,+41.3171308,-073.8119340
224,36,119,014808,36119014808,148.08,Census Tract,G5020,S,9075199,641204,+41.2882235,-073.7922032
225,36,119,014809,36119014809,148.09,Census Tract,G5020,S,18845232,958483,+41.2553432,-073.7847960
226,36,119,014810,36119014810,148.10,Census Tract,G5020,S,1705147,15469,+41.3227653,-073.7947681
227,36,119,014811,36119014811,148.11,Census Tract,G5020,S,6079540,74741,+41.3132769,-073.7881693
228,36,119,014812,36119014812,148.12,Census Tract,G5020,S,8125206,138498,+41.3176832,-073.8359370
229,36,119,014813,36119014813,148.13,Census Tract,G5020,S,3439716,431464,+41.3213481,-073.8532505
230,36,119,014901,36119014901,149.01,Census Tract,G5020,S,43789111,3844897,+41.2908315,-073.7189178
231,36,119,014903,36119014903,149.03,Census Tract,G5020,S,6567879,82317,+41.3359042,-073.7081057
232,36,119,014907,36119014907,149.07,Census Tract,G5020,S,7390552,207589,+41.3259819,-073.7277119
233,36,119,014908,36119014908,149.08,Census Tract,G5020,S,14236057,2372509,+41.3164321,-073.7555489
234,36,119,014909,36119014909,149.09,Census Tract,G5020,S,4928824,136116,+41.3454104,-073.6780745
235,36,119,015000,36119015000,150,Census Tract,G5020,S,55344603,4066515,+41.3337106,-073.6144646
236,36,119,015100,36119015100,151,Census Tract,G5020,S,2313471,0,+40.9260570,-073.8202500
237,36,119,981000,36119981000,9810,Census Tract,G5020,S,4219128,0,+41.0843108,-073.8105178
238,36,119,982000,36119982000,9820,Census Tract,G5020,S,264916,0,+41.1513369,-073.8684937
239,36,119,983000,36119983000,9830,Census Tract,G5020,S,725070,0,+41.2418334,-073.6780148
240,36,119,984000,36119984000,9840,Census Tract,G5020,S,930438,1455946,+41.2329728,-073.9376072
241,36,119,985000,36119985000,9850,Census Tract,G5020,S,1872001,0,+41.0463609,-073.7001900
