OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
3272,36,119,009702,2012,361190097022012,Block 2012,G5040, , , ,S,47434,0,+41.0209265,-073.7294097
3273,36,119,008602,4023,361190086024023,Block 4023,G5040, , , ,S,15351,0,+41.0300649,-073.7414757
3274,36,119,009702,3005,361190097023005,Block 3005,G5040, , , ,S,38995,0,+41.0172500,-073.7452624
3275,36,119,009702,3004,361190097023004,Block 3004,G5040, , , ,S,31617,0,+41.0194626,-073.7465882
3276,36,119,009702,3007,361190097023007,Block 3007,G5040, , , ,S,33270,0,+41.0149120,-073.7499644
3277,36,119,009702,3002,361190097023002,Block 3002,G5040, , , ,S,41363,0,+41.0142415,-073.7443495
3278,36,119,008602,1006,361190086021006,Block 1006,G5040, , , ,S,31719,0,+41.0331361,-073.7379032
3279,36,119,008602,1009,361190086021009,Block 1009,G5040, , , ,S,40464,0,+41.0346227,-073.7375803
3280,36,119,009702,2024,361190097022024,Block 2024,G5040, , , ,S,33932,0,+41.0202475,-073.7276769
3281,36,119,007200,2019,361190072002019,Block 2019,G5040, , , ,S,5957,0,+40.9366463,-073.7333068
3282,36,119,008602,4036,361190086024036,Block 4036,G5040, , , ,S,10895,0,+41.0209133,-073.7156904
3283,36,119,009702,2029,361190097022029,Block 2029,G5040, , , ,S,10976,0,+41.0152719,-073.7362551
3284,36,119,009702,2026,361190097022026,Block 2026,G5040, , , ,S,9919,0,+41.0156919,-073.7354218
3285,36,119,009702,2027,361190097022027,Block 2027,G5040, , , ,S,8867,0,+41.0160715,-073.7345984
3286,36,119,009702,2017,361190097022017,Block 2017,G5040, , , ,S,9293,0,+41.0167717,-073.7330273
3287,36,119,009703,3007,361190097033007,Block 3007,G5040, , , ,S,16104,0,+41.0162469,-073.7317739
3288,36,119,009703,3008,361190097033008,Block 3008,G5040, , , ,S,13779,0,+41.0148041,-073.7334315
3289,36,119,009702,2032,361190097022032,Block 2032,G5040, , , ,S,9747,0,+41.0176281,-073.7320952
3290,36,119,009702,2015,361190097022015,Block 2015,G5040, , , ,S,25430,0,+41.0179681,-073.7293000
3291,36,119,009702,2033,361190097022033,Block 2033,G5040, , , ,S,10785,0,+41.0170344,-073.7317533
3292,36,119,009703,1011,361190097031011,Block 1011,G5040, , , ,S,26761,0,+40.9968334,-073.7361341
3293,36,119,009703,3001,361190097033001,Block 3001,G5040, , , ,S,15028,0,+41.0156096,-073.7314279
3294,36,119,009702,3021,361190097023021,Block 3021,G5040, , , ,S,39790,0,+41.0082857,-073.7495100
3295,36,119,009703,3018,361190097033018,Block 3018,G5040, , , ,S,27835,0,+41.0070653,-073.7456492
3296,36,119,009701,3001,361190097013001,Block 3001,G5040, , , ,S,25649,0,+41.0013542,-073.7503304
3297,36,119,009703,3026,361190097033026,Block 3026,G5040, , , ,S,16336,0,+41.0021116,-073.7484398
3298,36,119,009703,3027,361190097033027,Block 3027,G5040, , , ,S,16061,0,+41.0012733,-073.7475274
3299,36,119,009703,3020,361190097033020,Block 3020,G5040, , , ,S,8685,0,+41.0019075,-073.7468037
3300,36,119,009703,3014,361190097033014,Block 3014,G5040, , , ,S,5923,0,+41.0059500,-073.7445614
3301,36,119,009703,3021,361190097033021,Block 3021,G5040, , , ,S,17575,0,+41.0020383,-073.7448974
3302,36,119,009703,2004,361190097032004,Block 2004,G5040, , , ,S,13683,0,+41.0023091,-073.7404340
3303,36,119,009703,2006,361190097032006,Block 2006,G5040, , , ,S,13768,0,+41.0011920,-073.7410816
3304,36,119,009703,3013,361190097033013,Block 3013,G5040, , , ,S,30605,4951,+41.0053380,-073.7358105
3305,36,119,002202,2010,361190022022010,Block 2010,G5040, , , ,S,4039,0,+40.9390078,-073.8401446
3306,36,119,001301,2017,361190013012017,Block 2017,G5040, , , ,S,2505,0,+40.9213312,-073.8862024
3307,36,119,002202,4010,361190022024010,Block 4010,G5040, , , ,S,12714,0,+40.9461104,-073.8492959
3308,36,119,007000,1005,361190070001005,Block 1005,G5040, , , ,S,9822,0,+40.9278966,-073.7659708
3309,36,119,006900,4004,361190069004004,Block 4004,G5040, , , ,S,86477,0,+40.9409992,-073.7499871
3310,36,119,005902,1020,361190059021020,Block 1020,G5040, , , ,S,31278,0,+40.9011719,-073.7725507
3311,36,119,015000,3003,361190150003003,Block 3003,G5040, , , ,S,1302608,0,+41.3267895,-073.6275120
3312,36,119,007300,1015,361190073001015,Block 1015,G5040, , , ,S,24417,0,+40.9522548,-073.7424458
3313,36,119,007300,2009,361190073002009,Block 2009,G5040, , , ,S,17430,0,+40.9592748,-073.7356200
3314,36,119,014100,2014,361190141002014,Block 2014,G5040, , , ,S,19889,0,+41.2718823,-073.9302918
3315,36,119,000702,3003,361190007023003,Block 3003,G5040, , , ,S,0,447091,+40.9541805,-073.9024505
3316,36,119,011902,1015,361190119021015,Block 1015,G5040, , , ,S,2900,0,+41.0948145,-073.7930541
3317,36,119,007200,2001,361190072002001,Block 2001,G5040, , , ,S,0,214702,+40.9419508,-073.7286830
3318,36,119,012000,2024,361190120002024,Block 2024,G5040, , , ,S,998,0,+41.0962891,-073.7932933
3319,36,119,009702,2023,361190097022023,Block 2023,G5040, , , ,S,35406,0,+41.0230355,-073.7427719
3320,36,119,005902,3010,361190059023010,Block 3010,G5040, , , ,S,0,5377531,+40.8856133,-073.7604131
