OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,SHAPEAREA,SHAPELEN
7008,NY119,3,UpC,309683,393821.136339967,3964.22176711054
7009,NY119,3,SuB,309671,1424035.62232755,6993.97723174201
7010,NY119,3,UpB,309682,585441.528881932,5340.79191537157
7011,NY119,3,Sh,309743,91398.0472380725,1619.21308976609
7012,NY119,3,CuD,309706,178115.356922427,2575.25186081768
7013,NY119,3,Sh,309743,159120.458471205,2481.04022513034
7014,NY119,3,ChB,309694,64908.47289746,998.77427198115
7015,NY119,3,LeB,309718,363475.938497891,5503.14160088549
7016,NY119,3,PnC,309722,77699.5128034465,1412.97828101741
7017,NY119,3,CtC,309705,103918.37702265,1387.47296867705
7018,NY119,3,Uc,309673,43557.2398943817,862.120486565301
7019,NY119,3,ChB,309694,135112.362605336,1661.80155604381
7020,NY119,3,Pc,309720,59915.3582336534,1158.09937995753
7021,NY119,3,CtC,309705,302613.129564567,2206.0731317871
7022,NY119,3,RhD,309737,158520.61509773,2864.11618550767
7023,NY119,3,PnB,309721,72128.6622219221,1184.17588627289
7024,NY119,3,CrC,309703,35681.2966021171,857.590488002694
7025,NY119,3,HrF,309712,62193.8442655451,1800.18395859551
7026,NY119,3,RhD,309737,88733.5681626146,1714.92020000789
7027,NY119,3,ChD,309696,213206.341687033,3474.31252011621
7028,NY119,3,Sh,309743,210038.36005387,2343.0398756998
7029,NY119,3,ChB,309694,59417.0114106402,980.316865670964
7030,NY119,3,PnC,309722,1193481.76992189,17220.7730918684
7031,NY119,3,CrC,309703,319369.416699094,3562.92503750621
7032,NY119,3,W,309689,50361.654255099,911.984885628837
7033,NY119,3,CsD,309704,755075.392995789,6842.19082547858
7034,NY119,3,CrC,309703,265900.269627631,2296.31917322979
7035,NY119,3,LcA,309716,36931.8041463792,847.824564836225
7036,NY119,3,ChD,309696,99356.0426549188,1516.22740640324
7037,NY119,3,LcB,309717,268786.215168163,4017.40351471387
7038,NY119,3,CrC,309703,204609.863346767,2724.93937143721
7039,NY119,3,RdB,309732,112598.382076129,1531.28147202383
